开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,
15:55:18,0:00:11,P2,TK-045,FAIL,MAC: A4C1381555F3,PASS,-4.84,-4.85,0.13,-4.84,PASS,-2.49,-2.49,0.15,-2.49,PASS,-2.43,-2.44,0.15,-2.43,PASS,PASS,27,27.8,25.9,2.12,-2,0,PASS,27.6,28.6,26.7,3.03,-3,0,PASS,28.1,29.9,26.7,2.04,-2,-1,PASS,FAIL,55.600,FAIL,9.200,PASS,6.000,PASS,
15:55:53,0:00:10,P2,TK-045,FAIL,MAC: A4C1388553C3,FAIL,-5.23,-5.28,0.15,-5.23,FAIL,-4.49,-4.50,0.17,-4.49,PASS,-3.55,-3.60,0.15,-3.56,PASS,PASS,26.3,27.9,25.2,-2.24,3,0,PASS,26.8,27.8,25.8,2.32,3,0,PASS,27.4,28.6,26.1,2.62,3,2,PASS,FAIL,63.400,FAIL,45.600,FAIL,16.000,PASS,
15:56:24,0:00:10,P2,TK-045,FAIL,MAC: A4C1382554F3,FAIL,-5.41,-5.46,0.14,-5.45,FAIL,-2.98,-3.03,0.14,-3.03,PASS,-2.64,-2.69,0.14,-2.68,PASS,PASS,37.8,38.7,36.7,2.08,2,0,PASS,38.5,39.7,36.7,-2.34,2,0,PASS,39.2,40.7,38,2.18,3,0,PASS,FAIL,70.000,FAIL,-1.600,PASS,3.200,PASS,
15:56:55,0:00:11,P2,TK-045,FAIL,MAC: A4C1382555F3,PASS,-4.41,-4.46,0.13,-4.42,PASS,-2.20,-2.25,0.15,-2.21,PASS,-2.11,-2.15,0.14,-2.12,PASS,PASS,36.2,37.5,35,2.34,-2,0,PASS,36.9,38.1,35.7,-2.46,-3,0,PASS,37.6,38.8,36.2,-2.83,-3,0,PASS,FAIL,35.800,FAIL,6.400,PASS,2.800,PASS,
15:57:23,0:00:10,P2,TK-045,FAIL,MAC: A4C138155BF3,FAIL,-5.84,-5.90,0.13,-5.88,FAIL,-3.36,-3.41,0.16,-3.38,PASS,-2.95,-3.00,0.18,-2.96,PASS,PASS,36.6,37.4,35.4,2.24,2,0,PASS,37.3,38.1,36,2.17,-2,0,PASS,38,39.3,36.3,2.68,-3,1,PASS,FAIL,83.800,FAIL,26.400,PASS,
15:57:57,0:00:15,P2,TK-045,FAIL,MAC: A4C1381559F3,FAIL,-5.25,-5.25,0.14,-5.25,FAIL,-3.12,-3.12,0.15,-3.12,PASS,-2.88,-2.88,0.15,-2.88,PASS,PASS,34.5,35.4,33.2,-2.44,3,1,PASS,35.2,36.7,34.2,-2.95,3,1,PASS,35.8,36.9,34.2,-2.06,3,0,PASS,FAIL,60.800,FAIL,-2.200,PASS,7.000,PASS,
15:58:39,0:00:10,P2,TK-045,FAIL,MAC: A4C1385552F3,PASS,-4.48,-4.49,0.16,-4.48,PASS,-2.83,-2.83,0.16,-2.83,PASS,-2.77,-2.77,0.15,-2.77,PASS,PASS,35.3,36.6,34.1,-2.27,2,2,PASS,35.9,37.1,34.2,-2.74,3,0,PASS,36.6,37.7,35.3,2.17,-2,0,PASS,FAIL,42.000,FAIL,-1.400,PASS,4.200,PASS,
15:59:27,0:00:10,P2,TK-045,FAIL,MAC: A4C1385552F3,PASS,-4.72,-4.73,0.14,-4.72,PASS,-2.72,-2.72,0.15,-2.72,PASS,-2.56,-2.57,0.14,-2.56,PASS,PASS,35.3,36.6,34.4,2.26,2,1,PASS,35.9,37,34.7,-2.16,3,1,PASS,36.6,37.9,35.7,-2.25,3,1,PASS,FAIL,47.200,FAIL,9.000,PASS,-1.800,PASS,
16:00:12,0:00:11,P2,TK-045,FAIL,MAC: A4C1385552F3,PASS,-4.54,-4.54,0.14,-4.54,PASS,-2.47,-2.47,0.16,-2.47,PASS,-2.68,-2.68,0.16,-2.68,PASS,PASS,34.8,35.8,33.3,-2.86,2,2,PASS,35.4,36.7,34.4,2.21,3,0,PASS,36.1,37.7,35,2.36,4,1,PASS,FAIL,40.600,FAIL,9.800,PASS,7.000,PASS,
16:02:01,0:00:15,P2,TK-045,FAIL,MAC: A4C1385552F3,PASS,-4.05,-4.06,0.13,-4.05,PASS,-2.04,-2.05,0.16,-2.05,PASS,-2.41,-2.41,0.15,-2.41,PASS,PASS,35.3,36.2,33.8,-2.52,3,0,PASS,35.9,36.9,35,2.41,3,1,PASS,36.6,37.5,35,2.25,2,1,PASS,FAIL,32.600,FAIL,5.600,PASS,4.000,PASS,
16:02:48,0:00:10,P2,TK-045,FAIL,MAC: A4C1386556F3,FAIL,-6.09,-6.10,0.15,-6.09,FAIL,-3.23,-3.24,0.15,-3.23,PASS,-2.65,-2.65,0.14,-2.65,PASS,PASS,32.2,33.4,30.8,2.28,2,1,PASS,32.8,34,31.3,-2.56,2,1,PASS,33.4,34.8,32.5,-2.69,3,1,PASS,FAIL,91.800,FAIL,31.800,FAIL,12.800,PASS,
16:03:49,0:00:10,P2,TK-045,FAIL,MAC: A4C1385552F3,FAIL,-5.52,-5.52,0.14,-5.52,FAIL,-2.97,-2.97,0.15,-2.97,PASS,-2.68,-2.69,0.15,-2.68,PASS,PASS,35.4,36.1,34.3,2.3,2,2,PASS,36,37,35.3,-2.79,3,2,PASS,36.7,37.9,35.8,-1.99,2,2,PASS,PASS,-1178.800,PASS,
16:05:16,0:00:15,P2,TK-045,FAIL,MAC: A4C1385552F3,FAIL,-5.36,-5.37,0.14,-5.37,FAIL,-3.09,-3.09,0.15,-3.09,PASS,-2.69,-2.69,0.14,-2.69,PASS,PASS,35.6,36.7,34.2,1.89,2,0,PASS,36.3,37.7,35.2,2.11,3,1,PASS,37,37.7,35.7,-2.87,3,1,PASS,FAIL,65.800,FAIL,14.400,PASS,4.200,PASS,
17:43:27,0:00:10,P2,TK-045,FAIL,MAC: A4C1382554F3,FAIL,-5.12,-5.17,0.14,-5.17,FAIL,-2.51,-2.57,0.15,-2.55,PASS,-2.38,-2.43,0.15,-2.41,PASS,PASS,37.8,39.2,36.8,2.61,2,1,PASS,38.5,39.9,37.3,-2.35,2,0,PASS,39.2,40.5,38.3,-2.61,3,2,PASS,FAIL,61.000,FAIL,8.400,PASS,2.800,PASS,
18:03:41,0:00:10,P2,TK-045,FAIL,MAC: A4C1382554F3,FAIL,-5.05,-5.06,0.13,-5.05,FAIL,-2.23,-2.23,0.15,-2.23,PASS,-2.02,-2.02,0.13,-2.02,PASS,PASS,26.6,27.8,25.5,-2.23,3,1,PASS,27.1,28.1,26.4,-2.38,-2,1,PASS,27.6,29.1,26.8,-2.35,-4,0,PASS,FAIL,97.400,FAIL,99.800,FAIL,99.800,FAIL,
18:04:34,0:00:10,P2,TK-045,FAIL,MAC: A4C138F55FE3,FAIL,-5.09,-5.09,0.14,-5.09,FAIL,-2.33,-2.33,0.15,-2.33,PASS,-2.07,-2.08,0.14,-2.08,PASS,PASS,31.6,32.6,30.2,2.32,3,0,PASS,32.2,33.3,31.1,-2.5,3,0,PASS,32.8,33.8,31.8,-2.39,3,1,PASS,FAIL,91.000,FAIL,71.000,FAIL,97.400,FAIL,
